developer_id,username,repository_id,repository_name,total_commits,total_lines_added,total_lines_removed,total_lines_changed,total_files_changed,total_pull_requests,total_issues,total_reviews
17031,jlongster,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
40680,tim-smart,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
54934,wmertens,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
84136,albertogasparin,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
104395,nudded,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
217050,albertchae,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
252084,alcroito,1,actual,1,205.0,97.0,302.0,7.0,0,0,0
335468,bdoherty,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
350318,ciwchris,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
438434,lnagel,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
439392,keriati,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
517857,doggan,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
519966,julianwachholz,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
711567,reecerunnells,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
720151,xthiago,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
869446,zachwhelchel,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
886567,MatissJanis,1,actual,22,152395.0,295945.0,448340.0,14645.0,10,0,27
919444,Valloric,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
947525,kyangk,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
1077440,urjeetpatel,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
1115390,psybers,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
1190097,turt2live,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
1201065,rianmcguire,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
1212885,coliff,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
1435081,qedi-r,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
1449259,ezfe,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
1456118,jamescostian,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
1816101,Kovah,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
1839534,sjones512,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
1928354,esseti,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
2013367,spezzino,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
2050897,7brend7,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
2139908,chinalichen,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
2153833,sinistersnare,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
2243140,simonschmidt,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
2285387,kyrias,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
2664857,BoKKeR,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
2792750,PartyLich,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
2805771,rodriguestiago0,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
2806882,twk3,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
2892349,n1thun,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
2963462,modrzew,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
3141005,NikxDa,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
3229611,Wizmaster,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
3413011,gsumpster,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
3577785,joewashear007,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
3906461,Tigatok,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
3916435,m3nu,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
4097176,pole95,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
4146157,wokkieman,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
4265864,scivarolo,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
4328644,suryaatevellore,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
4405777,Shazib,1,actual,0,0.0,0.0,0.0,0.0,0,1,0
4494839,rickdoesdev,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
4614486,NullScope,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
4707927,attyluccio,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
5180063,YusefOuda,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
5285928,MikesGlitch,1,actual,22,1351350.0,512050.0,1863400.0,80080.0,24,14,51
5458241,sampellino,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
5459452,kymckay,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
5487802,dangrous,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
5488094,davidkus,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
5637592,rgoldfinger,1,actual,4,14840.0,12880.0,27720.0,3920.0,6,5,28
5862724,trevdor,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
6032823,Jackenmen,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
6070705,joel-rich,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
6128604,syukronrm,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
6165180,iurynogueira,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
6296878,TimQuelch,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
6534113,mk-french,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
6873862,brtwrst,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
7062359,Horizon0156,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
7209649,visurel,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
7430438,OlegWock,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
7798503,zenminimalist,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
8283278,vincegio,1,actual,2,264.0,0.0,264.0,40.0,2,2,4
8426945,sidvishnoi,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
8612503,fstybel,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
8746547,mnsrv,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
8896360,wysinder,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
8977619,mezger6,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
9423014,wnklmnn,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
9433345,dymanoid,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
9922514,jfdoming,1,actual,14,1728888.0,1475754.0,3204642.0,82656.0,17,14,39
10054769,adam-rozen,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
10075608,dmednis,1,actual,0,0.0,0.0,0.0,0.0,0,0,0
