developer_id,username,repository_id,repository_name,total_commits,total_lines_added,total_lines_removed,total_lines_changed,total_files_changed,total_pull_requests,total_issues,total_reviews
22432834,BobcatProgrammer,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
22452787,loks0n,2,appwrite,3,812.0,616.0,1428.0,84.0,5,4,6
22895284,bogdaaamn,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
23223867,EVDOG4LIFE,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
23402178,bsantosh909,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
23518097,chuiizeet,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
23742426,shimonewman,2,appwrite,9,19768.0,8792.0,28560.0,1652.0,4,4,7
24191952,izqalan,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
24373771,Akshay-Rana-Gujjar,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
25107942,Olyno,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
25405707,Parikshit-Hooda,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
25815659,MissaDavid,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
26071571,TGlide,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
26272249,Exouxas,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
26303198,mvarendorff,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
26739219,PineappleIOnic,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
27011453,stijnvdkolk,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
27148250,stvmachine,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
27357868,KaminskiDaniell,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
27856297,dependabot-preview[bot],2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
28431370,TafadzwaD,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
28495651,antoine29,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
28586681,utkarsh-raj,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
29069505,gewenyu99,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
29237374,achromik,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
29686102,chandrikadeb7,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
29725587,ayan-b,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
30630364,the-bose,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
30731059,fanatic75,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
31023616,Doges,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
31401437,adityaoberai,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
32243289,yatharth1706,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
32528768,itaymelamed,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
32809211,Haimantika,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
33012425,michizhou,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
33250853,NeonSpork,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
33922418,SuuSoJeat,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
34207400,Dhruvacube,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
34406802,kiy4h,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
35486736,AnatoleLucet,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
35950229,Hrdtr,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
36071208,MasterKN48,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
36137226,Ganzabahl,2,appwrite,0,0.0,0.0,0.0,0.0,0,0,0
